Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Net PnL %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %
1,Exit long,2026-01-07 03:00,Close entry(s) order long,91553.1,0.022655,1999.969807,74.17,3.71,147.24,7.36,-5.56,-0.28,74.17,0.74
1,Entry long,2026-01-02 03:00,long,88279.4,0.022655,1999.969807,74.17,3.71,147.24,7.36,-5.56,-0.28,74.17,0.74
2,Exit long,2026-01-09 18:00,Close entry(s) order long,89993.4,0.022137,2014.825619,-22.64,-1.12,9.27,0.46,-30.23,-1.50,51.52,0.52
2,Entry long,2026-01-09 11:00,long,91016.2,0.022137,2014.825619,-22.64,-1.12,9.27,0.46,-30.23,-1.50,51.52,0.52
3,Exit long,2026-01-10 05:00,Close entry(s) order long,90284.2,0.022002,2010.300738,-23.87,-1.19,2.12,0.11,-27.2,-1.35,27.66,0.28
3,Entry long,2026-01-10 03:00,long,91369,0.022002,2010.300738,-23.87,-1.19,2.12,0.11,-27.2,-1.35,27.66,0.28
4,Exit long,2026-01-12 22:00,Close entry(s) order long,90735,0.022097,2005.483945,-0.51,-0.03,38.38,1.91,-13.33,-0.66,27.14,0.27
4,Entry long,2026-01-11 14:00,long,90758.2,0.022097,2005.483945,-0.51,-0.03,38.38,1.91,-13.33,-0.66,27.14,0.27
5,Exit long,2026-01-16 06:00,Close entry(s) order long,95214,0.021887,2005.418262,78.53,3.92,137.32,6.85,-16.28,-0.81,105.67,1.06
5,Entry long,2026-01-13 01:00,long,91626,0.021887,2005.418262,78.53,3.92,137.32,6.85,-16.28,-0.81,105.67,1.06
6,Exit long,2026-01-19 09:00,Close entry(s) order long,93625.1,0.021202,2021.103972,-36.06,-1.78,3.58,0.18,-37.55,-1.86,69.61,0.70
6,Entry long,2026-01-19 05:00,long,95326.1,0.021202,2021.103972,-36.06,-1.78,3.58,0.18,-37.55,-1.86,69.61,0.70
7,Exit long,2026-01-23 00:00,Close entry(s) order long,89045,0.022403,2013.852716,-18.98,-0.94,9.05,0.45,-19.89,-0.99,50.63,0.51
7,Entry long,2026-01-22 12:00,long,89892.1,0.022403,2013.852716,-18.98,-0.94,9.05,0.45,-19.89,-0.99,50.63,0.51
8,Exit long,2026-01-23 17:00,Close entry(s) order long,89477.6,0.02236,2010.038784,-9.32,-0.46,3.32,0.17,-11.89,-0.59,41.31,0.41
8,Entry long,2026-01-23 13:00,long,89894.4,0.02236,2010.038784,-9.32,-0.46,3.32,0.17,-11.89,-0.59,41.31,0.41
9,Exit long,2026-01-24 22:00,Close entry(s) order long,89495.2,0.022173,2008.250739,-23.87,-1.19,9.47,0.47,-31.33,-1.56,17.44,0.17
9,Entry long,2026-01-24 03:00,long,90571.9,0.022173,2008.250739,-23.87,-1.19,9.47,0.47,-31.33,-1.56,17.44,0.17
10,Exit long,2026-01-27 23:00,Close entry(s) order long,87938.2,0.022742,2003.476958,-3.59,-0.18,19.83,0.99,-8.94,-0.45,13.85,0.14
10,Entry long,2026-01-27 08:00,long,88095.9,0.022742,2003.476958,-3.59,-0.18,19.83,0.99,-8.94,-0.45,13.85,0.14
11,Exit long,2026-01-28 03:00,Close entry(s) order long,87505.3,0.022605,2002.748748,-24.69,-1.23,1.18,0.06,-30.3,-1.51,-10.84,-0.11
11,Entry long,2026-01-28 02:00,long,88597.6,0.022605,2002.748748,-24.69,-1.23,1.18,0.06,-30.3,-1.51,-10.84,-0.11
12,Exit long,2026-01-29 12:00,Close entry(s) order long,87862.9,0.022605,1997.809556,-11.67,-0.58,50.19,2.51,-16.48,-0.82,-22.51,-0.23
12,Entry long,2026-01-28 05:00,long,88379.1,0.022605,1997.809556,-11.67,-0.58,50.19,2.51,-16.48,-0.82,-22.51,-0.23
13,Exit long,2026-02-04 00:00,Close entry(s) order long,77168,0.025394,1995.427508,-35.82,-1.80,15.05,0.75,-36.92,-1.85,-58.33,-0.58
13,Entry long,2026-02-03 02:00,long,78578.7,0.025394,1995.427508,-35.82,-1.80,15.05,0.75,-36.92,-1.85,-58.33,-0.58
14,Exit long,2026-02-09 20:00,Close entry(s) order long,68708.4,0.028437,1988.329258,-34.47,-1.73,66.98,3.37,-73.95,-3.72,-92.8,-0.93
14,Entry long,2026-02-07 02:00,long,69920.5,0.028437,1988.329258,-34.47,-1.73,66.98,3.37,-73.95,-3.72,-92.8,-0.93
15,Exit long,2026-02-10 13:00,Close entry(s) order long,69481.7,0.028026,1981.384951,-34.09,-1.72,2.05,0.10,-43.06,-2.17,-126.89,-1.27
15,Entry long,2026-02-10 06:00,long,70698.1,0.028026,1981.384951,-34.09,-1.72,2.05,0.10,-43.06,-2.17,-126.89,-1.27
16,Exit long,2026-02-13 02:00,Close entry(s) order long,65832.1,0.029108,1974.605218,-58.36,-2.96,16.09,0.81,-67.6,-3.42,-185.26,-1.85
16,Entry long,2026-02-12 22:00,long,67837.2,0.029108,1974.605218,-58.36,-2.96,16.09,0.81,-67.6,-3.42,-185.26,-1.85
17,Exit long,2026-02-16 01:00,Close entry(s) order long,69061.3,0.029277,1962.940874,58.97,3.00,113.65,5.79,-7.12,-0.36,-126.29,-1.26
17,Entry long,2026-02-13 22:00,long,67047.2,0.029277,1962.940874,58.97,3.00,113.65,5.79,-7.12,-0.36,-126.29,-1.26
18,Exit long,2026-02-22 18:00,Close entry(s) order long,67923.2,0.029386,1974.742139,21.25,1.08,43.66,2.21,-22.69,-1.15,-105.04,-1.05
18,Entry long,2026-02-20 10:00,long,67200.1,0.029386,1974.742139,21.25,1.08,43.66,2.21,-22.69,-1.15,-105.04,-1.05
19,Exit long,2026-02-22 23:00,Close entry(s) order long,67632.1,0.029062,1978.991421,-13.47,-0.68,3.68,0.19,-16.41,-0.83,-118.51,-1.19
19,Entry long,2026-02-22 20:00,long,68095.5,0.029062,1978.991421,-13.47,-0.68,3.68,0.19,-16.41,-0.83,-118.51,-1.19
20,Exit long,2026-02-27 07:00,Close entry(s) order long,67439,0.030004,1976.243464,47.2,2.39,126.76,6.41,-34.77,-1.76,-71.31,-0.71
20,Entry long,2026-02-25 11:00,long,65866,0.030004,1976.243464,47.2,2.39,126.76,6.41,-34.77,-1.76,-71.31,-0.71
21,Exit long,2026-02-27 20:00,Close entry(s) order long,66567.6,0.029335,1985.68615,-32.93,-1.66,12.71,0.64,-33.93,-1.71,-104.24,-1.04
21,Entry long,2026-02-27 15:00,long,67690,0.029335,1985.68615,-32.93,-1.66,12.71,0.64,-33.93,-1.71,-104.24,-1.04
22,Exit long,2026-03-02 06:00,Close entry(s) order long,65259,0.029571,1979.139716,-49.37,-2.49,37.05,1.87,-55.84,-2.82,-153.6,-1.54
22,Entry long,2026-03-01 06:00,long,66928.4,0.029571,1979.139716,-49.37,-2.49,37.05,1.87,-55.84,-2.82,-153.6,-1.54
23,Exit long,2026-03-02 19:00,Close entry(s) order long,66137.1,0.029469,1969.262978,-20.27,-1.03,4.04,0.21,-38.51,-1.96,-173.87,-1.74
23,Entry long,2026-03-02 14:00,long,66824.9,0.029469,1969.262978,-20.27,-1.03,4.04,0.21,-38.51,-1.96,-173.87,-1.74
24,Exit long,2026-03-02 22:00,Close entry(s) order long,65940.9,0.029648,1965.21768,-10.2,-0.52,5.4,0.27,-11.92,-0.61,-184.07,-1.84
24,Entry long,2026-03-02 20:00,long,66285,0.029648,1965.21768,-10.2,-0.52,5.4,0.27,-11.92,-0.61,-184.07,-1.84
25,Exit long,2026-03-03 20:00,Close entry(s) order long,66831.9,0.029247,1963.178553,-8.55,-0.44,86.38,4.40,-23.67,-1.21,-192.62,-1.93
25,Entry long,2026-03-03 00:00,long,67124.1,0.029247,1963.178553,-8.55,-0.44,86.38,4.40,-23.67,-1.21,-192.62,-1.93
26,Exit long,2026-03-06 04:00,Close entry(s) order long,70959.7,0.028597,1961.416755,67.82,3.46,155.62,7.93,-35.18,-1.79,-124.8,-1.25
26,Entry long,2026-03-04 04:00,long,68588.2,0.028597,1961.416755,67.82,3.46,155.62,7.93,-35.18,-1.79,-124.8,-1.25
27,Exit long,2026-03-11 18:00,Close entry(s) order long,69626.4,0.029141,1975.016705,53.97,2.73,116,5.87,-14.23,-0.72,-70.83,-0.71
27,Entry long,2026-03-09 18:00,long,67774.5,0.029141,1975.016705,53.97,2.73,116,5.87,-14.23,-0.72,-70.83,-0.71
28,Exit long,2026-03-12 13:00,Close entry(s) order long,69409.9,0.028153,1985.82253,-31.73,-1.60,21.42,1.08,-38.42,-1.93,-102.56,-1.03
28,Entry long,2026-03-12 00:00,long,70536.8,0.028153,1985.82253,-31.73,-1.60,21.42,1.08,-38.42,-1.93,-102.56,-1.03
29,Exit long,2026-03-13 00:00,Close entry(s) order long,69556.1,0.028125,1979.4825,-23.22,-1.17,7.48,0.38,-30.29,-1.53,-125.78,-1.26
29,Entry long,2026-03-12 21:00,long,70381.6,0.028125,1979.4825,-23.22,-1.17,7.48,0.38,-30.29,-1.53,-125.78,-1.26
30,Exit long,2026-03-14 10:00,Close entry(s) order long,70605.2,0.028095,1974.828455,8.82,0.45,100.46,5.09,-15.97,-0.81,-116.95,-1.17
30,Entry long,2026-03-13 01:00,long,70291.1,0.028095,1974.828455,8.82,0.45,100.46,5.09,-15.97,-0.81,-116.95,-1.17
31,Exit long,2026-03-18 17:00,Close entry(s) order long,73852,0.027679,1976.560158,67.59,3.42,126.6,6.40,-6.11,-0.31,-49.36,-0.49
31,Entry long,2026-03-15 12:00,long,71410.1,0.027679,1976.560158,67.59,3.42,126.6,6.40,-6.11,-0.31,-49.36,-0.49
32,Exit long,2026-03-20 21:00,Close entry(s) order long,70445,0.028025,1990.074867,-15.85,-0.80,0.32,0.02,-23.24,-1.17,-65.22,-0.65
32,Entry long,2026-03-20 18:00,long,71010.7,0.028025,1990.074867,-15.85,-0.80,0.32,0.02,-23.24,-1.17,-65.22,-0.65
33,Exit long,2026-03-22 05:00,Close entry(s) order long,70360.8,0.028208,1986.957416,-2.22,-0.11,18.28,0.92,-7.76,-0.39,-67.44,-0.67
33,Entry long,2026-03-21 11:00,long,70439.5,0.028208,1986.957416,-2.22,-0.11,18.28,0.92,-7.76,-0.39,-67.44,-0.67
34,Exit long,2026-03-25 03:00,Close entry(s) order long,69206.2,0.028093,1986.49536,-42.29,-2.13,29.94,1.51,-51.78,-2.61,-109.72,-1.10
34,Entry long,2026-03-23 22:00,long,70711.4,0.028093,1986.49536,-42.29,-2.13,29.94,1.51,-51.78,-2.61,-109.72,-1.10
35,Exit long,2026-03-26 15:00,Close entry(s) order long,69994.7,0.027936,1978.00848,-22.64,-1.14,33.08,1.67,-24.8,-1.25,-132.36,-1.32
35,Entry long,2026-03-25 10:00,long,70805,0.027936,1978.00848,-22.64,-1.14,33.08,1.67,-24.8,-1.25,-132.36,-1.32
36,Exit long,2026-03-29 09:00,Close entry(s) order long,66340.1,0.029506,1973.505859,-16.07,-0.81,0.25,0.01,-19.53,-0.99,-148.43,-1.48
36,Entry long,2026-03-29 06:00,long,66884.9,0.029506,1973.505859,-16.07,-0.81,0.25,0.01,-19.53,-0.99,-148.43,-1.48
37,Exit long,2026-03-29 17:00,Close entry(s) order long,66631.1,0.029525,1970.294778,-3.01,-0.15,3.3,0.17,-6.74,-0.34,-151.45,-1.51
37,Entry long,2026-03-29 15:00,long,66733.1,0.029525,1970.294778,-3.01,-0.15,3.3,0.17,-6.74,-0.34,-151.45,-1.51
38,Exit long,2026-03-29 23:00,Close entry(s) order long,66544,0.029482,1969.695368,-7.85,-0.40,1.14,0.06,-9.58,-0.49,-159.29,-1.59
38,Entry long,2026-03-29 22:00,long,66810.1,0.029482,1969.695368,-7.85,-0.40,1.14,0.06,-9.58,-0.49,-159.29,-1.59
39,Exit long,2026-03-31 07:00,Close entry(s) order long,66771.3,0.029311,1968.12813,-10.99,-0.56,30.85,1.57,-27.42,-1.39,-170.29,-1.70
39,Entry long,2026-03-30 13:00,long,67146.4,0.029311,1968.12813,-10.99,-0.56,30.85,1.57,-27.42,-1.39,-170.29,-1.70
40,Exit long,2026-03-31 19:00,Close entry(s) order long,66090,0.028946,1965.876274,-52.84,-2.69,4.88,0.25,-57,-2.90,-223.12,-2.23
40,Entry long,2026-03-31 11:00,long,67915.3,0.028946,1965.876274,-52.84,-2.69,4.88,0.25,-57,-2.90,-223.12,-2.23
41,Exit long,2026-04-02 12:00,Close entry(s) order long,66828.2,0.028834,1955.314275,-28.39,-1.45,43.34,2.22,-35.32,-1.81,-251.51,-2.52
41,Entry long,2026-04-01 04:00,long,67812.8,0.028834,1955.314275,-28.39,-1.45,43.34,2.22,-35.32,-1.81,-251.51,-2.52
42,Exit long,2026-04-04 11:00,Close entry(s) order long,66824.6,0.029157,1949.676107,-1.27,-0.07,0.76,0.04,-1.99,-0.10,-252.78,-2.53
