Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Net PnL %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %
1,Exit long,2026-01-02 19:00,long_x,89909.5,0.022569,1999.915825,29.25,1.46,29.25,1.46,-6.42,-0.32,29.25,0.29
1,Entry long,2026-01-02 08:00,long,88613.4,0.022569,1999.915825,29.25,1.46,29.25,1.46,-6.42,-0.32,29.25,0.29
2,Exit short,2026-01-08 15:00,short_x,89991.1,0.021649,2005.77119,57.55,2.87,57.55,2.87,-25.87,-1.29,86.81,0.87
2,Entry short,2026-01-07 02:00,short,92649.6,0.021649,2005.77119,57.55,2.87,57.55,2.87,-25.87,-1.29,86.81,0.87
3,Exit long,2026-01-14 06:00,long_x,94477.7,0.022028,2017.355079,63.8,3.16,63.8,3.16,-33.75,-1.67,150.61,1.51
3,Entry long,2026-01-10 02:00,long,91581.4,0.022028,2017.355079,63.8,3.16,63.8,3.16,-33.75,-1.67,150.61,1.51
4,Exit short,2026-01-19 09:00,short_x,92487.4,0.021321,2030.057694,58.13,2.86,58.13,2.86,-13.5,-0.66,208.74,2.09
4,Entry short,2026-01-16 06:00,short,95214,0.021321,2030.057694,58.13,2.86,58.13,2.86,-13.5,-0.66,208.74,2.09
5,Exit long,2026-01-22 02:00,long_x,87553.2,0.022628,2041.697286,-60.54,-2.97,1.93,0.09,-61.16,-3.00,148.2,1.48
5,Entry long,2026-01-22 01:00,long,90228.8,0.022628,2041.697286,-60.54,-2.97,1.93,0.09,-61.16,-3.00,148.2,1.48
6,Exit long,2026-01-26 03:00,long_x,87200.1,0.022472,2029.560927,-70,-3.45,19.44,0.96,-70,-3.45,78.2,0.78
6,Entry long,2026-01-22 05:00,long,90315.1,0.022472,2029.560927,-70,-3.45,19.44,0.96,-70,-3.45,78.2,0.78
7,Exit long,2026-01-27 01:00,long_x,87550.5,0.022869,2015.584471,-13.39,-0.66,16.64,0.83,-19.55,-0.97,64.8,0.65
7,Entry long,2026-01-27 00:00,long,88136.1,0.022869,2015.584471,-13.39,-0.66,16.64,0.83,-19.55,-0.97,64.8,0.65
8,Exit short,2026-01-30 00:00,short_x,85521,0.022727,2012.884936,69.25,3.44,69.25,3.44,-3.36,-0.17,134.05,1.34
8,Entry short,2026-01-29 11:00,short,88568,0.022727,2012.884936,69.25,3.44,69.25,3.44,-3.36,-0.17,134.05,1.34
9,Exit long,2026-02-03 11:00,long_x,77850,0.025641,2026.769768,-30.62,-1.51,3.26,0.16,-30.62,-1.51,103.43,1.03
9,Entry long,2026-02-03 10:00,long,79044.1,0.025641,2026.769768,-30.62,-1.51,3.26,0.16,-30.62,-1.51,103.43,1.03
10,Exit short,2026-02-04 03:00,short_x,73533.5,0.026427,2020.640132,77.37,3.83,77.37,3.83,-1.21,-0.06,180.8,1.81
